type,value,chembl,target
IC50,5.47,CHEMBL189656,3
IC50,6.80,CHEMBL423838,3
IC50,7.74,CHEMBL2414314,3
IC50,4.39,CHEMBL1094588,3
IC50,8.91,CHEMBL1928262,3
IC50,6.52,CHEMBL3973027,3
IC50,8.77,CHEMBL4440789,3
IC50,10.70,CHEMBL1916475,3
IC50,7.92,CHEMBL440705,3
IC50,7.62,CHEMBL313197,3
IC50,8.86,CHEMBL1916296,3
IC50,8.59,CHEMBL316819,3
IC50,8.52,CHEMBL3970984,3
IC50,5.70,CHEMBL12383,3
IC50,7.98,CHEMBL3938226,3
IC50,4.70,CHEMBL4639525,3
IC50,9.22,CHEMBL266960,3
IC50,7.92,CHEMBL3894057,3
IC50,6.10,CHEMBL303385,3
IC50,8.40,CHEMBL42779,3
IC50,8.15,CHEMBL3895838,3
IC50,8.64,CHEMBL26102,3
IC50,6.43,CHEMBL213094,3
IC50,5.67,CHEMBL363511,3
IC50,7.02,CHEMBL347047,3
IC50,6.72,CHEMBL190787,3
IC50,5.26,CHEMBL3893185,3
IC50,5.37,CHEMBL119250,3
IC50,8.57,CHEMBL557059,3
IC50,7.76,CHEMBL3903498,3
IC50,5.51,CHEMBL1915912,3
IC50,5.03,CHEMBL501991,3
IC50,8.96,CHEMBL356775,3
IC50,5.29,CHEMBL1916114,3
IC50,8.00,CHEMBL515979,3
IC50,8.70,CHEMBL290694,3
IC50,8.73,CHEMBL4582221,3
IC50,8.51,CHEMBL210603,3
IC50,4.71,CHEMBL366999,3
IC50,8.46,CHEMBL314849,3
IC50,5.64,CHEMBL1650693,3
IC50,5.64,CHEMBL3403346,3
IC50,4.00,CHEMBL4100407,3
IC50,8.64,CHEMBL1094500,3
IC50,5.992727272727272727272727273,CHEMBL28079,3
IC50,5.51,CHEMBL1095632,3
